n,kappa,fmt,accum,rel_error,gflops
512,100000,fp8,small,4.579893e+00,16.989
512,1e+06,fp32,fp32,0.000000e+00,1180.585
512,1e+06,fp32,small,4.277471e-07,449.483
512,1e+06,tf32,fp32,3.774236e-02,1531.004
512,1e+06,tf32,small,8.341647e-02,16.948
512,1e+06,bfloat16,fp32,1.042360e-01,1502.434
512,1e+06,bfloat16,small,2.810006e-01,16.840
512,1e+06,fp8,fp32,3.090618e-01,1380.131
512,1e+06,fp8,small,4.917255e+00,16.946
1024,100,fp32,fp32,0.000000e+00,1286.207
1024,100,fp32,small,5.963403e-07,262.095
1024,100,tf32,fp32,3.546195e-02,1142.177
1024,100,tf32,small,1.032448e-01,13.619
1024,100,bfloat16,fp32,1.063618e-01,1138.393
1024,100,bfloat16,small,8.333394e-01,13.622
1024,100,fp8,fp32,3.007136e-01,1049.601
1024,100,fp8,small,1.300298e+02,13.980
1024,1000,fp32,fp32,0.000000e+00,1295.323
1024,1000,fp32,small,5.896429e-07,267.795
1024,1000,tf32,fp32,3.754798e-02,1163.974
1024,1000,tf32,small,1.060359e-01,13.611
1024,1000,bfloat16,fp32,1.085306e-01,1114.226
1024,1000,bfloat16,small,6.412920e-01,13.812
1024,1000,fp8,fp32,3.032101e-01,1172.954
1024,1000,fp8,small,1.214420e+02,14.276
1024,10000,fp32,fp32,0.000000e+00,1290.361
1024,10000,fp32,small,5.932964e-07,262.756
1024,10000,tf32,fp32,3.681538e-02,1131.793
1024,10000,tf32,small,1.038141e-01,14.103
1024,10000,bfloat16,fp32,1.077621e-01,1130.180
1024,10000,bfloat16,small,1.294244e+00,13.977
1024,10000,fp8,fp32,3.064001e-01,1145.146
1024,10000,fp8,small,1.256832e+02,14.251
1024,100000,fp32,fp32,0.000000e+00,1185.691
1024,100000,fp32,small,5.943660e-07,266.287
1024,100000,tf32,fp32,3.723311e-02,1126.401
1024,100000,tf32,small,1.023199e-01,13.863
1024,100000,bfloat16,fp32,1.075510e-01,1125.245
1024,100000,bfloat16,small,5.420811e-01,11.340
1024,100000,fp8,fp32,3.003145e-01,1096.424
1024,100000,fp8,small,1.292691e+02,14.331
1024,1e+06,fp32,fp32,0.000000e+00,1289.134
1024,1e+06,fp32,small,5.979970e-07,255.380
1024,1e+06,tf32,fp32,3.699844e-02,1137.916
1024,1e+06,tf32,small,1.046308e-01,14.123
1024,1e+06,bfloat16,fp32,1.071053e-01,1166.477
1024,1e+06,bfloat16,small,7.220376e-01,13.981
1024,1e+06,fp8,fp32,3.009965e-01,1160.018
1024,1e+06,fp8,small,1.236349e+02,14.431
